step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
310.0,22,659.0,17.81081081081081,4.486609374189888,6,107.0,0.00010021111281322639,15,558.0,0.13907278831668302,21,665.0
315.0,22,766.0,21.27777777777778,3.9025337660032986,6,137.0,0.2938724686384713,16,632.0,6.0434413096202445e-05,22,769.0
320.0,17,753.0,23.53125,2.752572510277065,7,168.0,0.17965018153918894,10,615.0,0.04670669791141942,17,783.0
325.0,19,829.0,25.12121212121212,4.500781870702958,9,212.0,0.13892809902597028,10,620.0,0.14121497957741078,19,832.0
330.0,14,800.0,24.242424242424242,5.180326860879123,5,147.0,0.31180383658602745,9,662.0,0.016113678855248843,14,809.0
335.0,17,877.0,26.575757575757574,5.5861139385700485,7,172.0,0.21072688308172252,10,711.0,1.4199318263587648e-05,17,883.0
340.0,19,955.0,31.833333333333332,3.5842434931067824,7,207.0,0.15133506319371137,10,754.0,3.5882321342208505e-05,17,961.0
345.0,19,1043.0,37.25,3.060225332287395,8,248.0,0.18506988036085195,10,804.0,0.05155024209265124,18,1052.0
350.0,20,1134.0,39.10344827586207,2.8941225865815503,9,289.0,0.15883314129781292,10,854.0,0.2183502972445838,19,1143.0
355.0,19,1225.0,37.121212121212125,2.572387856392064,9,330.0,0.04269971295383605,10,904.0,0.09275181383058151,19,1234.0
360.0,20,1322.0,36.72222222222222,3.928519129173987,9,375.0,0.17801633780100232,10,954.0,0.12928559582647106,19,1329.0
365.0,18,1359.0,33.975,4.911110220588472,6,361.0,0.19944590912271692,10,1004.0,0.15884714997215907,16,1365.0
370.0,19,1452.0,35.41463414634146,5.90002446052942,7,380.0,0.21079324658591536,10,1054.0,0.062319112355410926,17,1434.0
375.0,21,1553.0,40.86842105263158,4.513751449572001,8,419.0,0.12246836233997684,11,1106.0,0.229718915445366,19,1525.0
380.0,24,1668.0,47.65714285714286,2.4753407488888426,10,468.0,0.08124465369613242,12,1162.0,0.08466159589050443,22,1630.0
385.0,27,1783.0,52.44117647058823,1.2688526005775327,10,504.0,0.07938731727954275,14,1231.0,0.0016601472933273007,24,1735.0
390.0,26,1897.0,55.794117647058826,1.8123503525369062,11,559.0,0.1459609395752583,13,1280.0,0.0015932596732025853,24,1839.0
395.0,25,1998.0,57.08571428571429,2.2895578963335814,9,581.0,0.019842908947075057,14,1349.0,0.05567045705292427,23,1930.0
400.0,24,2095.0,58.19444444444444,2.4314124365890235,9,626.0,0.08504611113920245,13,1402.0,0.07623443711606151,22,2028.0
405.0,24,2193.0,62.65714285714286,3.1665721617307887,9,655.0,0.10002108364512992,13,1456.0,0.11924202860315779,22,2111.0
410.0,25,2315.0,66.14285714285714,3.219179138011235,9,700.0,0.25338133908185695,14,1526.0,0.11617841189965858,23,2226.0
415.0,23,1986.0,55.166666666666664,2.414388769713353,6,498.0,0.16015816054818613,14,1596.0,0.06474888440239557,20,2094.0
420.0,17,1789.0,48.351351351351354,4.415190739935606,1,112.0,0.24995996911278145,14,1652.0,1.7342018853819372e-05,15,1764.0
425.0,18,1874.0,50.648648648648646,5.492897538857752,1,21.0,0.42682075472470354,14,1722.0,0.11591370632377497,15,1743.0
430.0,16,1105.0,33.484848484848484,3.9941918903043,3,29.0,0.000885308304203508,10,1284.0,0.078326139928152,13,1313.0
435.0,8,297.0,9.28125,6.23815544237218,3,44.0,0.3441952139948105,2,673.0,0.2232304475751359,5,717.0
440.0,5,73.0,2.212121212121212,7.501332796168733,3,59.0,0.3530868356557079,2,377.0,0.4331174421541288,5,436.0
445.0,6,100.0,3.3333333333333335,9.082438742985982,3,74.0,0.4446328474253111,3,102.0,0.4843613262214569,6,176.0
450.0,9,133.0,4.75,6.540465774424293,4,90.0,0.22586463948937036,4,43.0,0.313888808468835,8,133.0
455.0,11,182.0,7.0,5.390830535031103,6,116.0,0.2758407889014188,5,66.0,0.16363615524929565,11,182.0
460.0,14,240.0,8.571428571428571,4.6378378114660075,7,148.0,0.16320592140556614,6,92.0,0.05682453535989478,13,240.0
465.0,17,315.0,10.5,3.180452943487367,9,190.0,0.0807923067954864,7,125.0,0.13514749200521337,16,315.0
470.0,22,411.0,13.258064516129032,2.8415911119444432,12,243.0,4.7424922677311765e-06,10,168.0,0.1013320874946793,22,411.0
475.0,21,476.0,15.35483870967742,2.186113787123286,9,260.0,0.09378720057861617,12,223.0,8.934391476065403e-05,21,483.0
480.0,22,582.0,18.1875,3.0914757597844167,10,299.0,0.09316339976077025,12,286.0,0.18474014707601583,22,585.0
485.0,24,697.0,22.483870967741936,2.19817655776183,11,352.0,0.010298567426961218,13,348.0,0.15111800443093143,24,700.0
490.0,27,823.0,24.205882352941178,1.8777845850330694,12,410.0,2.8463471668587344e-05,14,416.0,0.06146009925185413,26,826.0
495.0,22,755.0,22.87878787878788,2.778000790108983,8,272.0,0.1012370748608995,14,486.0,0.002126002595400839,22,758.0
500.0,23,870.0,27.1875,2.6212926603219446,8,312.0,0.0013395370151002058,15,561.0,0.022429569200339994,23,873.0
505.0,26,993.0,32.03225806451613,1.3048847410295028,9,357.0,0.0012901058824330211,16,639.0,0.003988504773804681,25,996.0
510.0,21,913.0,29.451612903225808,1.6222479680653286,10,407.0,2.4259808372954696e-06,11,563.0,0.08683914147452411,21,970.0
515.0,20,1005.0,28.714285714285715,3.6486151301885226,10,463.0,0.21671895014345477,10,548.0,0.029832332299221845,20,1011.0
520.0,22,1112.0,31.771428571428572,4.3935435148896085,10,513.0,0.3580189360835659,11,600.0,0.0033541276242842685,21,1113.0
525.0,18,818.0,24.058823529411764,2.1808569069299764,5,271.0,0.1092116327437956,12,659.0,0.09000320687728815,17,930.0
530.0,18,779.0,21.63888888888889,4.977131789532542,3,65.0,0.1746366963849577,14,729.0,0.16508365264494393,17,794.0
535.0,18,869.0,24.13888888888889,5.897866962431476,3,59.0,0.23766286572792988,14,799.0,0.31746556492674355,17,858.0
540.0,15,600.0,16.216216216216218,3.962836549593578,3,74.0,0.0055783078017912135,11,595.0,0.21588866464029022,14,669.0
545.0,18,645.0,17.916666666666668,3.844995532268188,4,94.0,0.17027430206792482,12,523.0,0.140189841817911,16,617.0
550.0,19,736.0,19.89189189189189,4.788834905680776,4,114.0,0.18599769153899534,13,584.0,0.11273069626563313,17,698.0
555.0,18,770.0,22.647058823529413,4.289683951940288,2,98.0,0.4101698132951576,13,649.0,0.09287517971943907,15,747.0
560.0,13,740.0,23.870967741935484,4.7961136361894585,3,82.0,0.1451058473119703,8,638.0,0.15529754943672244,11,720.0
565.0,15,799.0,28.535714285714285,5.733464648368432,4,104.0,0.38673336452762636,8,638.0,0.0006773000441937144,12,742.0
570.0,13,863.0,33.19230769230769,5.596715704075961,4,124.0,0.4225596377860363,7,672.0,0.0,11,796.0
